timestamp,strategy,llm_model,llm_developer,files_count,llm_p_tokens,llm_c_tokens,emb_p_tokens,cost_llm,cost_emb,total_cost,latency,entity,relation,call_count
2026-05-01T20:13:03.820381,SEPARATE,Gemini 2.5 Flash-Lite,Google,1,9252,1637,1622,0.0015800000000000002,0.00024329999999999998,0.0018233000000000001,14.385,24,14,2
2026-05-01T20:13:37.346739,SEPARATE,Gemini 2.5 Flash-Lite,Google,1,10158,2538,2203,0.0020310000000000003,0.00033045,0.00236145,33.214,49,34,2
2026-05-01T20:13:37.663885,SEPARATE,DeepSeek V4 Flash,DeepSeek AI,1,0,0,0,0.0,0.0,0.0,0.002,0,0,0
2026-05-01T20:13:37.983266,SEPARATE,DeepSeek V4 Flash,DeepSeek AI,1,0,0,0,0.0,0.0,0.0,0.002,0,0,0
2026-05-01T20:13:38.302387,SEPARATE,GPT-4.1 Mini,OpenAI,1,0,0,0,0.0,0.0,0.0,0.003,0,0,0
2026-05-01T20:13:38.617422,SEPARATE,GPT-4.1 Mini,OpenAI,1,0,0,0,0.0,0.0,0.0,0.001,0,0,0
